,launch_date,launch_price,0days_price,4days_price,16days_price,28days_price,90days_price,180days_price,360days_price
01coin,2018-09-14 21:00:00,0.009788,0.0,0.21230077646097256,-0.27370249284838577,0.2997548017981202,-0.35829587249693495,-0.6701062525541479,-0.7619534123416428
0-5x-long-algorand-token,2020-08-18 21:00:00,11007.43,0.0,0.007178787419043431,0.007178787419043431,-0.19211841456180045,-0.30181977082752287,0.6492487347182767,0.4110469019562242
0-5x-long-altcoin-index-token,2020-10-22 21:00:00,7786.4,0.0,0.0,-0.0027907633823075484,-0.0027907633823075484,0.5330730504469332,1.7091467173533341,2.0880522449398957
0-5x-long-ascendex-token-token,2020-11-06 21:00:00,6605.01,0.015772875438492706,0.025886410467205856,0.025886410467205856,0.025886410467205856,0.025886410467205856,0.025886410467205856,0.025886410467205856
0-5x-long-bitcoin-cash-token,2020-08-06 21:00:00,7240.23,0.0,-0.018469026536449773,-0.02653921215210009,-0.09808528182115761,-0.10768718673301803,0.17649853664869775,0.3887928974632022
0-5x-long-bitcoin-token,2020-08-06 21:00:00,8299.52,0.0,-0.01717328231030235,-0.01717328231030235,-0.01717328231030235,0.13256308798581107,0.8063743445404072,0.899590578732264
0-5x-long-cardano-token,2020-10-18 21:00:00,11663.31,0.0,0.0,0.0,-0.016296402993661308,0.7309991760486518,2.894677411472387,3.993436683068529
0-5x-long-chainlink-token,2020-08-26 21:00:00,13605.85,-0.020425772737462156,-0.020425772737462156,-0.020425772737462156,-0.1339262155616886,-0.04338427955622037,0.4015919622809305,0.4713523962119235
0-5x-long-cosmos-token,2020-08-10 21:00:00,9330.6,0.0,-0.028802006301845484,-0.028802006301845484,0.022535528261848237,-0.031148050500503843,0.7255246179238206,0.7768417893811759
0-5x-long-dogecoin-token,2020-11-06 21:00:00,7169.8,0.03287818349186855,0.03287818349186855,0.03287818349186855,0.21321654718402194,6.089669167898686,26.309573488800243,18.918522134508635
0-5x-long-eos-token,2020-08-14 21:00:00,7101.35,-0.0009561562238166177,0.025147331141261775,0.021787406619868,-0.08680180529054349,-0.1339970568976322,0.03085751300808992,0.43726192906982475
0-5x-long-ethereum-classic-token,2020-08-06 21:00:00,7312.96,0.0,-0.021143285345468832,-0.021143285345468832,-0.021143285345468832,-0.07718899050452899,0.2342526145363848,2.3173981534153065
0-5x-long-ethereum-token,2020-08-06 21:00:00,9654.55,0.0,-0.006625891419071772,0.05684470016727872,-0.030365993236349698,0.07169158583258683,1.1157029587085883,1.8199429284637816
0-5x-long-kyber-network-token,2020-08-06 21:00:00,6971.22,0.0,-0.001463158528923203,0.10458284202765089,0.0874681906466872,-0.24757072650124368,-0.23899546994643694,0.15585363824409493
0-5x-long-matic-token,2020-08-18 21:00:00,8537.32,0.0,0.00397900043573407,0.00397900043573407,0.00397900043573407,-0.18500302202564733,1.032412982059944,7.681295769632625
0-5x-long-privacy-index-token,2020-10-22 21:00:00,8041.4,0.0,-0.006983858532096376,-0.03212251597980442,-0.0068582585121993445,0.3357101997164673,1.4742283681945927,1.020711567637476
0-5x-long-swipe-token,2020-08-10 21:00:00,13570.28,0.0,0.1941956982464621,0.025476261359382413,-0.14044441234816085,-0.30350221218722095,-0.05427154045458171,0.20995587416029715
0-5x-long-theta-network-token,2020-08-22 21:00:00,6745.67,0.0,0.019790472999716924,0.019790472999716924,0.019790472999716924,0.284017747681105,1.9630118283283942,4.043605750058926
0-5x-long-xrp-token,2020-08-06 21:00:00,7940.21,0.0,-0.005765590582616831,-0.005765590582616831,-0.005765590582616831,-0.08952408059736461,0.38793306474262,0.8624230341514898
0cash,2020-03-22 21:00:00,0.005686,0.7330284910306015,-0.0033415406260991487,-0.5907492085824833,-0.824832922968695,-0.8469926134365107,-0.8520928596552937,-0.809004572634541
0chain,2018-07-18 21:00:00,0.483325,0.0,-0.25351885377334094,-0.48753116433041954,-0.690686391144675,-0.5294884394558527,-0.8257011327781514,-0.9048528422903843
0x,2017-10-18 22:00:00,0.220802,0.016082281863389003,-0.12683309027997935,-0.1781369733969801,-0.10994465629840311,7.423836740609234,3.1443419896558904,2.93182579867936
0xcert,2018-07-14 21:00:00,0.043637,-0.1726974814950616,-0.16742672502692668,-0.33116392052615906,-0.7873364346769943,-0.8743497490661595,-0.9584756055640855,-0.968833787840594
0xdao,2022-01-22 21:00:00,0.074191,0.0,1.0940410561928,-0.22398943268051374,-0.01748190481325218,,,
0xdao-v2,2022-03-18 21:00:00,4.41,0.0,-0.24263038548752835,-0.5487528344671202,,,,
0xmonero,2020-04-22 21:00:00,0.010774,0.04937813254130319,0.1917579357713013,0.2047521811769073,0.2648969741971412,3.350844625951364,1.7419714126601074,12.44134026359755
0xpad,2022-01-14 21:00:00,0.082077,-0.3132911777964593,-0.26414220792670295,-0.2479379119607198,-0.5791634684503575,-0.7822532499969541,,
10024-10028-appoline,2021-06-26 21:00:00,145.67,-0.018878286538065447,0.010640488776000545,-0.0048053820278711745,-0.058419715795977156,-0.015651815747923403,0.04544518432072486,
10084-grayton,2021-06-26 21:00:00,48.49,0.0,-0.007217983089296776,0.07630439265828004,0.08888430604248287,0.08909053413074863,0.126005361930295,
100x-coin,2021-04-29 21:00:00,3.6268e-08,0.07292930406970344,0.787057461122753,0.8702161685232164,-0.38430572405426267,-0.6329822432998786,-0.6833848020293372,
10604-somerset,2021-06-26 21:00:00,53.69,-0.02514434717824543,0.032222015272862725,0.032222015272862725,-0.03464332277891602,0.027379400260756137,0.08213820078226863,
10612-somerset,2021-06-26 21:00:00,50.23,-0.01134780011945058,0.04877563209237512,-0.004977105315548513,0.032251642444754314,0.021899263388413415,0.08540712721481203,
10616-mckinney,2021-06-29 21:00:00,52.38,0.0,0.0,-0.040664375715922185,-0.010882016036655173,-0.00152730049637273,0.01145475372279492,
10617-hathaway,2021-06-26 21:00:00,57.29,0.014487694187467204,0.014487694187467204,-0.0010473031942748179,0.017629603770291435,-0.015011345784604613,0.014487694187467204,
10629-mckinney,2021-06-26 21:00:00,52.33,-0.034206000382189905,0.01815402254920695,0.012038983374737189,0.004968469329256653,0.03344162048538113,0.056946302312249175,
10639-stratman,2021-06-26 21:00:00,51.82,0.005789270551910475,0.020455422616750374,0.004052489386337399,0.014087225009648652,0.014473176379776076,0.045156310304901526,
10700-whittier,2021-06-26 21:00:00,50.87,0.013957145665421722,0.009042657755061967,0.024965598584627546,0.06506781993316291,0.006290544525260566,0.02948692746215853,
11078-longview,2021-06-26 21:00:00,53.37,-0.09387296233839237,-0.054525014052838605,-0.04646805321341574,-0.062019861345325,-0.046655424395727896,-0.02210979951283487,
11078-wayburn,2021-06-26 21:00:00,50.56,0.0,0.013053797468354444,0.030458860759493556,0.006329113924050667,-0.008504746835443,0.04074367088607578,
11201-college,2021-06-26 21:00:00,51.37,-0.01966128090325092,0.03134124975666741,0.016935954837453915,0.01479462721432756,0.04613587697099475,0.042437220167412804,
11300-roxbury,2021-06-29 21:00:00,50.53,0.0,0.06966158717593496,0.11280427468830379,0.062141302196714765,0.10607559865426475,0.14130219671482291,
11653-nottingham,2021-06-26 21:00:00,51.66,0.0,0.0793650793650793,0.05265195509097964,0.05052264808362383,0.07510646535036791,0.09020518776616337,
11957-olga,2021-06-26 21:00:00,48.2,-0.0244813278008299,0.07759336099585057,0.037136929460581,0.0807053941908713,0.07199170124481324,0.07199170124481324,
12334-lansdowne,2021-06-26 21:00:00,51.03,0.020576131687242816,0.054477758181461944,0.07524985302763065,0.18440133254948066,0.0877914951989025,0.09210268469527727,
12405-santa-rosa,2021-06-26 21:00:00,50.63,-0.021923760616235466,0.026269010468101817,0.006122852063993545,0.02508394232668376,0.05510566857594301,0.05510566857594301,
12409-whitehill,2021-06-26 21:00:00,47.64,0.0,0.05898404701931148,0.0740973971452561,0.09760705289672544,0.06947942905121751,0.07976490344248521,
1244-s-avers,2021-06-26 21:00:00,49.28,-0.04931006493506496,0.008116883116883189,0.021509740259740395,0.007102272727272707,0.006290584415584499,0.04159902597402598,
12866-lauder,2021-06-26 21:00:00,49.37,0.015393963945716127,0.023698602390115564,0.023496050232935106,0.00911484707312149,0.04294105732226061,0.08000810208628728,
12ships,2019-08-22 21:00:00,0.129215,0.0,-0.6513407886081337,-0.7310296792168092,-0.8470301435591843,-0.9058313663274388,-0.90505746236892,-0.9624501799326703
13045-wade,2021-06-26 21:00:00,50.82,0.0,0.04368358913813464,0.03463203463203457,0.06336088154269981,0.04879968516332145,0.09523809523809512,
13114-glenfield,2021-06-26 21:00:00,53.55,-0.025770308123249208,0.027077497665733086,0.008963585434173638,0.04985994397759108,0.04911297852474328,0.06629318394024275,
13116-kilbourne,2021-06-26 21:00:00,47.5,0.0,0.047789473684210604,0.03473684210526318,0.05789473684210522,0.07810526315789468,0.10021052631578953,
1337,2017-06-14 21:00:00,0.000123,-0.14634146341463417,0.16260162601626016,-0.33333333333333337,-0.4065040650406505,-0.6097560975609757,-0.3089430894308943,-0.36585365853658547
13606-winthrop,2021-06-26 21:00:00,46.63,-0.04889556079776969,0.011794981771391821,0.0012867252841517463,0.05490027879047821,0.01972978769032796,0.02980913574951738,
13991-warwick,2021-06-26 21:00:00,42.37,0.0,0.047203209818267755,0.034458343167335315,0.007080481472740319,0.06419636535284412,0.07882936039650712,
14066-santa-rosa,2021-06-26 21:00:00,50.39,-0.0023814248858899933,0.037308989878944265,0.03393530462393324,0.034729112919229976,0.08612820003969035,0.08612820003969035,
14078-carlisle,2021-06-26 21:00:00,48.72,-0.03140394088669951,0.03817733990147776,0.02298850574712663,0.026272577996715896,0.044950738916256006,0.1104269293924467,
14229-wilshire,2021-06-26 21:00:00,50.15,0.028713858424725958,0.02253240279162516,0.03310069790628134,0.015752741774675894,0.03728813559322042,0.06061814556331013,
14231-strathmoor,2021-06-26 21:00:00,48.06,0.02954640033291711,0.03786933000416148,0.020807324178110598,0.06949646275488974,0.0497295047856845,0.07677902621722832,
14319-rosemary,2021-06-26 21:00:00,46.37,-0.044640931636834136,-0.0017252533965925743,-0.006254043562648248,-0.007763640284666806,0.015311623894759485,0.05003234850118621,
14494-chelsea,2021-06-26 21:00:00,51.03,0.0,0.042328042328042326,0.002155594748187273,-0.0064667842445620405,-0.029982363315696703,0.022927689594356204,
